Model,Stock,MSE,Accuracy,,
MARS,FB,0.3414561,0.9945649,,
MARS,AAPL,2.93835887,0.9353581,,
MARS,AMZN,15.28920026,0.7474102,,
MARS,NFLX,3.7398017,0.9264612,,
MARS,GOOGL,14.18707091,0.5058192,,
Random Forest,FB,0.14186246,0.9984014,,
Random Forest,AAPL,0.26016034,0.998913,,
Random Forest,AMZN,0.08207131,1,,
Random Forest,NFLX,0.41128357,0.9991047,,
Random Forest,GOOGL,0.28337631,0.9999361,,
SVM,FB,0.43149213,0.9946928,,
SVM,AAPL,0.36691431,0.9962916,,
SVM,AMZN,0.44091519,0.99757,,
SVM,NFLX,0.59553075,0.9945645,,
SVM,GOOGL,0.4180007,0.9930937,,
Neural Networks,FB,0.33703018,0.9946928,,
Neural Networks,AAPL,0.31346647,0.9963555,,
Neural Networks,AMZN,0.18703135,0.99757,,
Neural Networks,NFLX,0.56730869,0.9945645,,
Neural Networks,GOOGL,0.33994595,0.9930937,,
autoML,FB,0.32224947,NA,,
autoML,AAPL,0.28656879,NA,,
autoML,AMZN,0.22684635,NA,,
autoML,NFLX,0.38783914,NA,,
autoML,GOOGL,0.2508341,NA,,
Time Series,FB,0.40480007,1,,
Time Series,AAPL,0.36728285,1,,
Time Series,AMZN,0.35674076,1,,
Time Series,NFLX,0.44023604,1,,
Time Series,GOOGL,0.35914671,1,,
