ticker,date,open,high,low,close,volume
NFLX,10/1/20 13:30,505.555,506.31,504.02,505,3326
NFLX,10/1/20 13:31,505.48,506.22,505.33,505.87,2353
NFLX,10/1/20 13:32,505.725,505.725,503.51,505.39,937
NFLX,10/1/20 13:33,505.34,506.61,505.21,505.505,3968
NFLX,10/1/20 13:34,505.56,508.02,505.37,508.02,2022
NFLX,10/1/20 13:35,508.03,508.88,507.555,508.72,3376
NFLX,10/1/20 13:36,508.87,512.03,508.83,512.03,3835
NFLX,10/1/20 13:37,511.81,512.05,509.68,510.18,1827
NFLX,10/1/20 13:38,510.11,511.6,510.1,511.03,990
NFLX,10/1/20 13:39,510.27,510.79,509.59,510.44,1546
NFLX,10/1/20 13:40,510.6,510.78,509.27,509.97,1465
NFLX,10/1/20 13:41,510.16,511.1,509.93,510.94,1970
NFLX,10/1/20 13:42,510.7,511.21,510.05,510.34,1199
NFLX,10/1/20 13:43,509.59,510.5,509.395,510.5,843
NFLX,10/1/20 13:44,510.4,511.03,509.89,509.89,679
NFLX,10/1/20 13:45,509.47,510,508.51,508.51,626
NFLX,10/1/20 13:46,508.93,509.27,507.5,507.69,399
NFLX,10/1/20 13:47,508.225,508.225,507.04,507.48,612
NFLX,10/1/20 13:48,507.51,507.99,507.51,507.52,416
NFLX,10/1/20 13:49,508,508.12,507.17,508.01,685
NFLX,10/1/20 13:50,508.84,509.93,508.84,509.63,1171
NFLX,10/1/20 13:51,509.19,509.63,509.19,509.63,39
NFLX,10/1/20 13:52,509.87,510.115,509.59,509.95,237
NFLX,10/1/20 13:53,509.66,510.2,509.66,509.98,500
NFLX,10/1/20 13:54,509.765,509.975,509.3,509.3,130
NFLX,10/1/20 13:55,509.53,510.12,509.52,509.635,536
NFLX,10/1/20 13:56,510.78,510.78,510.52,510.73,884
NFLX,10/1/20 13:57,510.61,511.04,510.46,511.01,400
NFLX,10/1/20 13:58,511.46,511.475,510.17,510.17,736
NFLX,10/1/20 13:59,509.6,510.105,509.22,509.94,654
NFLX,10/1/20 14:00,510.29,510.48,509.825,509.96,581
NFLX,10/1/20 14:01,509.5,509.71,509.4,509.51,206
NFLX,10/1/20 14:02,509.68,510.95,509.61,510.73,306
NFLX,10/1/20 14:03,510.69,511.315,510.69,511.29,580
NFLX,10/1/20 14:04,511.05,511.345,511.05,511.14,302
NFLX,10/1/20 14:05,511.5,512.09,510.69,511.43,1204
NFLX,10/1/20 14:06,511.37,511.77,511.3,511.54,503
NFLX,10/1/20 14:07,511.94,512,511.08,511.21,404
NFLX,10/1/20 14:08,510.63,511.08,510.21,510.34,790
NFLX,10/1/20 14:09,510.32,510.32,510.11,510.11,150
NFLX,10/1/20 14:10,510.31,511.25,510.31,511.145,501
NFLX,10/1/20 14:11,511.23,511.23,509.65,509.675,1021
NFLX,10/1/20 14:12,509.3,509.61,508.89,509.29,1602
NFLX,10/1/20 14:13,509.29,509.87,508.97,509.395,951
NFLX,10/1/20 14:14,509.59,509.86,509.245,509.86,930
NFLX,10/1/20 14:15,509.88,510.16,509.64,510.08,611
NFLX,10/1/20 14:16,510.065,510.57,509.955,509.955,312
NFLX,10/1/20 14:17,510.36,511.26,510.14,511.185,606
NFLX,10/1/20 14:18,511.245,511.245,511.1,511.155,504
NFLX,10/1/20 14:19,510.57,511.2,510.405,510.995,803
NFLX,10/1/20 14:20,510.92,511.815,510.7,511.675,1572
NFLX,10/1/20 14:21,511.69,511.74,510.495,510.605,2339
NFLX,10/1/20 14:22,510.47,510.795,510.345,510.74,465
NFLX,10/1/20 14:23,510.69,511.25,510.69,510.885,810
NFLX,10/1/20 14:24,510.75,510.905,510.33,510.415,747
